"filename", "language", "Python", "Dart", "YAML", "Markdown", "JSON", "HTML", "Groovy", "Properties", "C++", "Swift", "XML", "comment", "blank", "total"
"/Users/chris/Desktop/SuperWrite/README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/chris/Desktop/SuperWrite/backend/src/main.py", "Python", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 92
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 3, 11, 60
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 11, 1, 42
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 5, 32
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/chris/Desktop/SuperWrite/fontend/fltwrite/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
